"Date","NAME","FinYear","RelSurfaceArea"
1983-04-01,"Western Australia","1983",0.167241014518865
1983-04-01,NA,"1983",0.314034166082828
1983-05-01,"Australian Capital Territory","1983",0.162867556245529
1983-05-01,"New South Wales","1983",0.19701343740055
1983-05-01,"Northern Territory","1983",0.278947428308619
1983-05-01,"Other Territories","1983",0.456196117909269
1983-05-01,"Queensland","1983",0.307021610589506
1983-05-01,"South Australia","1983",0.193812588109582
1983-05-01,"Tasmania","1983",0.356800399968786
1983-05-01,"Victoria","1983",0.249946180276168
1983-05-01,"Western Australia","1983",0.165988155343464
1983-05-01,NA,"1983",0.32385416744751
1983-06-01,"Australian Capital Territory","1983",0.215073306457796
1983-06-01,"New South Wales","1983",0.25712429467154
1983-06-01,"Northern Territory","1983",0.278282016725101
1983-06-01,"Other Territories","1983",0.557253376100281
1983-06-01,"Queensland","1983",0.279836290987916
1983-06-01,"South Australia","1983",0.198565305828992
1983-06-01,"Tasmania","1983",0.371558009190722
1983-06-01,"Victoria","1983",0.305785361984792
1983-06-01,"Western Australia","1983",0.2001133682961
1983-06-01,NA,"1983",0.319361738522884
1983-07-01,"Australian Capital Territory","1984",0.300130716082478
1983-07-01,"New South Wales","1984",0.292435847693797
1983-07-01,"Northern Territory","1984",0.212087873734617
1983-07-01,"Other Territories","1984",0.494977129761481
1983-07-01,"Queensland","1984",0.370023145164474
1983-07-01,"South Australia","1984",0.297869965928394
1983-07-01,"Tasmania","1984",0.386520703210736
1983-07-01,"Victoria","1984",0.354277522762019
1983-07-01,"Western Australia","1984",0.31301098772249
1983-07-01,NA,"1984",0.381478666624281
1983-08-01,"Australian Capital Territory","1984",0.233508799441368
1983-08-01,"New South Wales","1984",0.263846524410899
1983-08-01,"Northern Territory","1984",0.195263621466922
1983-08-01,"Other Territories","1984",0.580136538830427
1983-08-01,"Queensland","1984",0.404196786292298
1983-08-01,"South Australia","1984",0.277556307797783
1983-08-01,"Tasmania","1984",0.436410376776348
1983-08-01,"Victoria","1984",0.362924327973407
1983-08-01,"Western Australia","1984",0.369414813977609
1983-08-01,NA,"1984",0.382950451474768
1983-09-01,"Australian Capital Territory","1984",0.310458643751808
1983-09-01,"New South Wales","1984",0.31442419807374
1983-09-01,"Northern Territory","1984",0.119992455372362
1983-09-01,"Other Territories","1984",0.493543238703207
1983-09-01,"Queensland","1984",0.380342773458642
1983-09-01,"South Australia","1984",0.249099147697135
1983-09-01,"Tasmania","1984",0.373365830514199
1983-09-01,"Victoria","1984",0.300771011699908
1983-09-01,"Western Australia","1984",0.415919715993546
1983-09-01,NA,"1984",0.380832488302656
